

@config file : refs/example_simu_populations.params

time            S0         S1          T1
0.000e+00	1.000e+00	0.000e+00	0.000e+00
5.003e-10	9.997e-01	3.277e-04	8.798e-06
1.001e-09	9.994e-01	5.384e-04	3.085e-05
1.501e-09	9.993e-01	6.740e-04	6.142e-05
2.001e-09	9.991e-01	7.612e-04	9.748e-05
2.501e-09	9.990e-01	8.172e-04	1.371e-04
3.002e-09	9.990e-01	8.533e-04	1.789e-04
3.502e-09	9.989e-01	8.765e-04	2.222e-04
4.002e-09	9.988e-01	8.913e-04	2.665e-04
4.502e-09	9.988e-01	9.009e-04	3.113e-04
5.003e-09	9.987e-01	9.070e-04	3.565e-04
5.503e-09	9.987e-01	9.110e-04	4.020e-04
6.003e-09	9.986e-01	9.135e-04	4.477e-04
6.503e-09	9.986e-01	9.151e-04	4.934e-04
7.004e-09	9.985e-01	9.161e-04	5.392e-04
7.504e-09	9.985e-01	9.168e-04	5.850e-04
8.004e-09	9.985e-01	9.172e-04	6.309e-04
8.504e-09	9.984e-01	9.174e-04	6.768e-04
9.005e-09	9.984e-01	9.175e-04	7.227e-04
9.505e-09	9.983e-01	9.176e-04	7.686e-04
1.001e-08	9.983e-01	9.176e-04	8.145e-04
1.051e-08	9.982e-01	9.176e-04	8.604e-04
1.101e-08	9.982e-01	9.176e-04	9.063e-04
1.151e-08	9.981e-01	9.176e-04	9.522e-04
1.201e-08	9.981e-01	9.176e-04	9.981e-04
1.251e-08	9.980e-01	9.175e-04	1.044e-03
1.301e-08	9.980e-01	9.175e-04	1.090e-03
1.351e-08	9.979e-01	9.175e-04	1.136e-03
1.401e-08	9.979e-01	9.174e-04	1.182e-03
1.451e-08	9.979e-01	9.174e-04	1.228e-03
1.501e-08	9.978e-01	9.173e-04	1.273e-03
1.551e-08	9.978e-01	9.173e-04	1.319e-03
1.601e-08	9.977e-01	9.173e-04	1.365e-03
1.651e-08	9.977e-01	9.172e-04	1.411e-03
1.701e-08	9.976e-01	9.172e-04	1.457e-03
1.751e-08	9.976e-01	9.171e-04	1.503e-03
1.801e-08	9.975e-01	9.171e-04	1.549e-03
1.851e-08	9.975e-01	9.171e-04	1.595e-03
